id,name,value
60dcd6597ac34d97aa2fc913b95009c4,李八搜,873.89
537807d539d74d23a497cf7e80b75afa,王三于,15462.63
ace97a31c0b34c6cafc8c6cbb76ff49c,吴九引,97.67
b01d7b6de97b43eb82ee759da3397852,孙一捷,79.97
518b5db5bfc14ecb8bf921c5b417b7c2,吴一捷,782.58
c08f401620a744c0abe9417c7c15495e,黄六引,29140.00
e3071268cd964a258bced22b36f98f79,吴四搜,353.07
0de9c0653c1a46e6acbf18ca3c17d9c8,张四致,6426.83
01e95a079e9040db8be63d2cfea342e4,钱三文,87798.92
06959ab04e1548a59f974e57b372eca0,赵五最,2298.32
b231ca1cbc38421c9d62c0362a8b8224,李六中,76.46
f586a37343b44a5a9a50bb0c8c4d23e1,钱四力,4611.11
dddc92745217473eb64bbc17ccb6e28a,张三力,491.39
61df4be090ed4b118ca45ee1f90a6c10,赵九全,91.27
f87bc3be8057483d88d74ce90b804b47,赵九致,2841.58
1029f050bfb1489aa48437f49f619977,李二文,235.91
4e1a008c28724dbf899aff4ab0b360e7,王二大,94.09
4abf18f5412740e9acc0bbc93d3386d2,王五引,2.56
b7c3f4f44b0b42eba5041e47aefd1a0a,黄八球,94648.83
b9cf171ad85048a8adb76b1f4672db71,李六信,9654.89
4e9f9fadeec444168664d1860168b98f,吴一于,30.49
af1736034fa3432cacbf152dc8ddfaca,黄六力,906.65
50c1c2dfcc1c4cdbaa9d86708c3ec520,孙四球,54.50
a653a5b82eb043b1aeb737bcba3a430d,钱一于,84867.63
864e63885efd431494dbdceafe21118c,张三文,34.21
ec34c2a532b947acba14266645271984,孙三捷,639.47
08eac98b7e4d4f68a8816a4d81683397,赵一息,14328.83
5c20f794f3ce4cc4add3ed4e0fd48714,吴五全,995.39
0ecb453900ad4e7e8cea48ddd91d1d8d,吴四文,9901.77
f46957c159ea4fe8ae0d33767e2b3c87,王四致,2901.69
f59bd3bc27ae4e48b406e948242399e6,王一引,412.51
99eaa82238064be7ad39f0066cb8c31d,黄六最,361.02
e594ca1359734143a0e4c8ed2386fe25,王六引,8445.37
3d53157b182b4ea691afaebf5980391b,黄六最,17.57
4a51a102ddd040b4ad6c2451ac3338d1,王四于,9.29
4d269e28b1814a56b56aa529fbf1ffe7,吴七搜,9752.82
58a8861c109b4539905d00aa747e133a,张八大,166.67
0e14c789917b48658d7811a4826b089d,张八中,90.90
607956a91a81409d8a9248f0c034f5b5,吴三搜,5173.63
935cd04d8c984659bdfb32e6f3e77faa,吴三引,89.43
6571a4a49e1f49b2a77357d619d4c3f7,孙九致,38136.65
c76a0c5c908d4a6bb90e24ab787fa86b,钱八中,3562.00
11dd971189c44205be76a2d3076ef620,王五引,9800.25
d4c47c9a222d48f6a5b047f6c6bab488,吴九息,2740.26
b8d6f5f4a3f5482aba50f8bf917afa1b,黄五最,4805.43
511d4615d76c486ab793317972536743,王二息,4863.15
d3da3b1418d24c2493be34e1be8db8b2,张一球,3403.34
641f3292ea464c43a7352bd3c9de07da,孙二于,245.30
6481efb9d7c34552b6d4f174a41ee8bf,李三搜,125.15
a633dad641ec4b43b7fcc27ab3ce3da3,孙七信,272.46
f8725095491f4541af2595f59140c4bb,王八最,1658.99
a122cb9386774c6b808ec2cbcd71fb8a,黄二球,90157.75
455a40a23c5041d4b29a131139f15cb8,黄九捷,73.86
